ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:      51       139.1550       146.3895         0.0000         0.0000          -5541.1475      1206.7438         0.0000         0.0000         0.0000          -4048.8592         0.0000     -4048.8592     -4048.8592         0.0000          14055.9593      1046.6122     23823.1240     14055.9593      1046.6122
ENERGY:      52       148.8031       140.8227         0.0000         0.0000          -5585.0408      1139.2848         0.0000         0.0000         0.0000          -4156.1303         0.0000     -4156.1303     -4156.1303         0.0000          12825.1869      -274.7336     23823.1240     12825.1869      -274.7336
ENERGY:      53       178.6945       147.3952         0.0000         0.0000          -5628.8589      1083.5238         0.0000         0.0000         0.0000          -4219.2455         0.0000     -4219.2455     -4219.2455         0.0000          11447.4895     -1404.6965     23823.1240     11447.4895     -1404.6965
ENERGY:      54       229.9539       165.4640         0.0000         0.0000          -5672.7849      1040.4899         0.0000         0.0000         0.0000          -4236.8772         0.0000     -4236.8772     -4236.8772         0.0000           9932.1137     -2313.2854     23823.1240      9932.1137     -2313.2854
ENERGY:      55       305.1815       193.9759         0.0000         0.0000          -5717.0446      1013.0394         0.0000         0.0000         0.0000          -4204.8479         0.0000     -4204.8479     -4204.8479         0.0000           8309.1062     -2916.8318     23823.1240      8309.1062     -2916.8318
ENERGY:      56       222.0014       162.4988         0.0000         0.0000          -5667.0599      1045.2917         0.0000         0.0000         0.0000          -4237.2680         0.0000     -4237.2680     -4237.2680         0.0000          10136.1856     -2209.7863     23823.1240     10136.1856     -2209.7863
ENERGY:      57       192.2677       163.9817         0.0000         0.0000          -5706.4932      1011.3659         0.0000         0.0000         0.0000          -4338.8780         0.0000     -4338.8780     -4338.8780         0.0000           9091.7801     -2990.7272     23823.1240      9091.7801     -2990.7272
ENERGY:      58       206.0187       168.8426         0.0000         0.0000          -5746.1222       992.7983         0.0000         0.0000         0.0000          -4378.4627         0.0000     -4378.4627     -4378.4627         0.0000           8039.4014     -3558.4545     23823.1240      8039.4014     -3558.4545
ENERGY:      59       264.2365       176.9637         0.0000         0.0000          -5786.1417       997.5516         0.0000         0.0000         0.0000          -4347.3899         0.0000     -4347.3899     -4347.3899         0.0000           7072.0029     -3816.4149     23823.1240      7072.0029     -3816.4149
ENERGY:      60       209.8261       169.5092         0.0000         0.0000          -5750.1025       992.0198         0.0000         0.0000         0.0000          -4378.7474         0.0000     -4378.7474     -4378.7474         0.0000           7896.7022     -3624.1171     23823.1240      7896.7022     -3624.1171
ENERGY:      61       209.4253       169.4410         0.0000         0.0000          -5749.7039       992.0872         0.0000         0.0000         0.0000          -4378.7504         0.0000     -4378.7504     -4378.7504         0.0000           7906.9408     -3620.0487     23823.1240      7906.9408     -3620.0487
ENERGY:      62       200.7663       161.7036         0.0000         0.0000          -5765.0193       973.2502         0.0000         0.0000         0.0000          -4429.2992         0.0000     -4429.2992     -4429.2992         0.0000           7884.5645     -4030.5192     23823.1240      7884.5645     -4030.5192
ENERGY:      63       197.5159       155.6367         0.0000         0.0000          -5780.4298       958.8002         0.0000         0.0000         0.0000          -4468.4769         0.0000     -4468.4769     -4468.4769         0.0000           7854.6601     -4378.3654     23823.1240      7854.6601     -4378.3654
