# step Etot Epot T p 
164 -5656.6122 -5656.6122 0.0 -2135.1892 
165 -5645.7206 -5645.7206 0.0 -2929.1532 
166 -5657.1512 -5657.1512 0.0 -2250.5269 
167 -5657.04 -5657.04 0.0 -2307.5815 
168 -5657.1502 -5657.1502 0.0 -2256.1206 
169 -5657.1509 -5657.1509 0.0 -2251.2831 
170 -5657.1512 -5657.1512 0.0 -2250.5282 
171 -5632.904 -5632.904 0.0 84.8336 
172 -5665.2633 -5665.2633 0.0 -1439.8778 
173 -5665.1839 -5665.1839 0.0 -1519.5307 
174 -5665.2626 -5665.2626 0.0 -1447.827 
175 -5665.2633 -5665.2633 0.0 -1440.7344 
176 -5685.8749 -5685.8749 0.0 -229.8394 
177 -5641.1172 -5641.1172 0.0 481.3306 
178 -5686.897 -5686.897 0.0 -410.1078 
179 -5686.888 -5686.888 0.0 -391.3577 
180 -5686.8969 -5686.8969 0.0 -408.224 
181 -5661.2973 -5661.2973 0.0 -4596.7894 
182 -5698.3061 -5698.3061 0.0 -1854.1117 
183 -5711.4499 -5711.4499 0.0 -2138.8 
184 -5686.2462 -5686.2462 0.0 -2577.0252 
185 -5711.9515 -5711.9515 0.0 -2082.7762 
186 -5711.8196 -5711.8196 0.0 -2055.0116 
187 -5711.951 -5711.951 0.0 -2079.9606 
188 -5711.9518 -5711.9518 0.0 -2082.165 
189 -5682.4654 -5682.4654 0.0 -902.1792 
190 -5718.8144 -5718.8144 0.0 -1676.0233 
191 -5718.7483 -5718.7483 0.0 -1714.7383 
192 -5718.8139 -5718.8139 0.0 -1679.8746 
193 -5718.8144 -5718.8144 0.0 -1676.7166 
194 -5741.8594 -5741.8594 0.0 -2852.1494 
195 -5710.5458 -5710.5458 0.0 -4584.9549 
196 -5741.9462 -5741.9462 0.0 -2709.4885 
197 -5741.9767 -5741.9767 0.0 -2757.1986 
198 -5731.3641 -5731.3641 0.0 -952.8512 
199 -5755.9775 -5755.9775 0.0 -1945.564 
200 -5721.7504 -5721.7504 0.0 -547.7603 
201 -5758.5677 -5758.5677 0.0 -1633.1737 
202 -5758.2023 -5758.2023 0.0 -1518.0132 
203 -5758.5642 -5758.5642 0.0 -1621.5888 
204 -5758.5676 -5758.5676 0.0 -1632.0136 
205 -5758.5677 -5758.5677 0.0 -1633.0192 
206 -5758.5677 -5758.5677 0.0 -1633.1737 
207 -5767.5159 -5767.5159 0.0 -2710.0565 
208 -5715.3652 -5715.3652 0.0 -4218.4041 
209 -5771.174 -5771.174 0.0 -2282.9044 
210 -5771.1429 -5771.1429 0.0 -2323.2466 
211 -5771.1739 -5771.1739 0.0 -2286.9081 
212 -5730.4792 -5730.4792 0.0 -527.3478 
213 -5779.8167 -5779.8167 0.0 -1722.8558 
214 -5768.6497 -5768.6497 0.0 -1414.5422 
215 -5786.701 -5786.701 0.0 -1573.6498 
216 -5763.3153 -5763.3153 0.0 -3806.7754 
217 -5794.4419 -5794.4419 0.0 -2266.8689 
218 -5794.1452 -5794.1452 0.0 -2412.0523 
219 -5794.4401 -5794.4401 0.0 -2281.2959 
220 -5794.4421 -5794.4421 0.0 -2270.066 
221 -5793.6164 -5793.6164 0.0 -1528.7385 
222 -5801.8933 -5801.8933 0.0 -1878.0857 
223 -5801.8204 -5801.8204 0.0 -1914.627 
224 -5801.8927 -5801.8927 0.0 -1881.7121 
225 -5801.8932 -5801.8932 0.0 -1878.4459 
226 -5801.8933 -5801.8933 0.0 -1878.0857 
227 -5805.9159 -5805.9159 0.0 -2023.9529 
228 -5715.512 -5715.512 0.0 -2602.0413 
229 -5815.5238 -5815.5238 0.0 -1902.5535 
230 -5815.4344 -5815.4344 0.0 -1910.5567 
231 -5815.5239 -5815.5239 0.0 -1903.3194 
232 -5829.3672 -5829.3672 0.0 -2408.3741 
233 -5786.9258 -5786.9258 0.0 -3246.081 
234 -5831.1243 -5831.1243 0.0 -2249.6454 
235 -5831.1086 -5831.1086 0.0 -2264.5793 
236 -5831.1245 -5831.1245 0.0 -2251.1329 
237 -5831.1244 -5831.1244 0.0 -2250.7322 
238 -5831.1245 -5831.1245 0.0 -2251.1329 
239 -5837.8203 -5837.8203 0.0 -1090.7033 
240 -5764.7479 -5764.7479 0.0 -371.7023 
241 -5844.5842 -5844.5842 0.0 -1517.2776 
242 -5862.4234 -5862.4234 0.0 -1988.1841 
243 -5821.7418 -5821.7418 0.0 -2929.7094 
244 -5863.3847 -5863.3847 0.0 -1864.9012 
245 -5863.3783 -5863.3783 0.0 -1876.5054 
246 -5863.3848 -5863.3848 0.0 -1866.8752 
247 -5883.6165 -5883.6165 0.0 -2436.7409 
248 -5844.1694 -5844.1694 0.0 -3532.7634 
249 -5884.198 -5884.198 0.0 -2321.2663 
250 -5884.1946 -5884.1946 0.0 -2332.3063 
251 -5884.198 -5884.198 0.0 -2324.0619 
252 -5884.198 -5884.198 0.0 -2321.2663 
253 -5887.8459 -5887.8459 0.0 -868.7056 
254 -5830.1005 -5830.1005 0.0 239.1673 
255 -5893.9362 -5893.9362 0.0 -1466.4134 
256 -5893.8455 -5893.8455 0.0 -1546.9311 
257 -5893.9364 -5893.9364 0.0 -1474.4267 
258 -5893.9365 -5893.9365 0.0 -1471.0545 
259 -5893.9365 -5893.9365 0.0 -1470.1711 
260 -5880.9006 -5880.9006 0.0 -2806.7045 
261 -5902.2389 -5902.2389 0.0 -1912.0535 
262 -5902.0609 -5902.0609 0.0 -1991.461 
263 -5902.2407 -5902.2407 0.0 -1919.9022 
264 -5902.2408 -5902.2408 0.0 -1918.6479 
265 -5911.1405 -5911.1405 0.0 -2294.6392 
266 -5857.4016 -5857.4016 0.0 -3169.4359 
267 -5914.9382 -5914.9382 0.0 -2103.798 
268 -5914.9036 -5914.9036 0.0 -2120.0225 
269 -5914.9385 -5914.9385 0.0 -2105.3977 
270 -5914.9383 -5914.9383 0.0 -2105.018 
271 -5914.9385 -5914.9385 0.0 -2105.3977 
272 -5922.3801 -5922.3801 0.0 -725.0587 
273 -5867.8161 -5867.8161 0.0 171.1692 
274 -5926.773 -5926.773 0.0 -1189.2922 
275 -5935.5727 -5935.5727 0.0 -2241.4977 
276 -5889.5589 -5889.5589 0.0 -3703.1342 
277 -5938.4059 -5938.4059 0.0 -1845.3454 
278 -5938.3881 -5938.3881 0.0 -1882.9233 
279 -5938.4066 -5938.4066 0.0 -1851.9657 
280 -5945.4437 -5945.4437 0.0 -1819.0651 
281 -5897.9284 -5897.9284 0.0 -2172.1237 
